s,a,r,sp
178,0,1,0
0,1,-10,2
169,0,-1,0
0,0,-10,2
119,0,0,0
0,0,-10,2
35,1,-1,38
38,0,1,1
1,0,10,2
163,0,1,1
1,1,10,2
180,1,-1,180
180,1,-1,181
181,0,1,1
1,1,10,2
105,1,0,107
107,0,1,1
1,1,10,2
127,0,1,1
1,1,10,2
13,1,0,0
0,0,-10,2
105,1,0,109
109,0,1,1
1,1,10,2
49,1,0,0
0,0,-10,2
92,1,-1,83
83,0,0,1
1,1,10,2
15,0,0,0
0,0,-10,2
89,0,1,1
1,0,10,2
64,0,-1,0
0,0,-10,2
21,0,-1,0
0,0,-10,2
180,1,-1,0
0,0,-10,2
84,1,0,87
87,0,0,0
0,0,-10,2
35,1,-1,0
0,0,-10,2
48,0,0,1
1,0,10,2
67,1,0,68
68,0,0,1
1,0,10,2
180,0,1,1
1,1,10,2
30,1,0,30
30,0,0,0
0,0,-10,2
177,0,0,0
0,1,-10,2
174,1,0,0
0,1,-10,2
63,1,1,74
74,0,1,1
1,1,10,2
165,1,1,167
167,0,-1,0
0,0,-10,2
176,0,0,0
0,0,-10,2
12,0,0,0
0,1,-10,2
175,1,0,177
177,1,0,0
0,0,-10,2
37,1,-1,0
0,1,-10,2
179,1,-1,0
0,0,-10,2
